review,real_sentiment
"  I¡¯m boarding an easyjet flight from Berlin to London and just had an extremely unpleasant experience at the gate. I have been told by staff that my bag was too large and I would have to pay for it. When I put the bag in the easyjet own measuring device showing that the bag clearly fitted the allowable size, she refused to look, just demanding that I should pay. Thankfully, a second hostess came by, recognized the error and took us in.",neutral
 Really bad airline. Rather than provided accurate information eg flight is delayed until x just kept providing an estimate of when the flight is to land. Never ever been on a flight with them that is on time. Very unreliable airline.,negative
  EasyJet lost my bag. I had to fill an online form for lost baggage. They gave updates on the bag status for 3 weeks. Post that the status was removed. No compensation was paid. The airline staff was helpful at the airport however they were Ill treated by various contracted service providers of easyJet. Besides this the airport facilities provided by easyJet are horrible. One has to check in ones luggage at the checkin. The instructions on the checking machines are inadequate. These machines fail to scan the bar codes on the boarding passes. The only relief is good and helpful staff but the numbers are too low. ,negative
"  Do not use this airline. My flight was cancelled and they refunded 10% of the money and refuse to investigate where the remainder is. For the last 2 weeks they have used delay tactics to send me back to the bank. Even my bank has said they¡¯re delaying the refund. How can 1 of 8 refund transactions go through but 7 don¡¯t. Now Easyjet refuse to investigate it further until I get a letter from my bank saying they don¡¯t have the money. So, either I¡¯m a liar or my bank are apparently? I¡¯m pretty sure this is illegal, delaying a refund like this. ",negative
" Flew from Bristol to Alicante with easyJet for a quick weekend break, more spur of the moment trip, and was impressed with the value for money and the attentive service received despite the flight being late out of Bristol and not arriving until early hours Sat morning. Seat 1E by the window was clean and with extra space and priority boarding was welcomed. Two drinks came to about ?10 which was good considering it was an alcoholic beverage. Really happy flying easyJet and will recommend them 100%",positive
"  I do not recommend this company with incompetent employees who only know how to trick you into taking your money. I checked in with my husband and I was entitled to two checked bags and the lady at the check in said that we can get on the plane with the smaller bag and up at the boarding gate another team from this company is waiting for you to collect the luggage once more, it's unbelievable how many thieves there are! The people at the bottom of the check-in prepare the loot for the people at the top who charge you to pay for your luggage twice.",negative
 Edinburgh To Fuerteventura. Very cheap fare. Boarding well organised. The crew were very friendly and professional providing a fantastic service throughout the flight. Would not hesitate to use again.,positive
"  Really bad and poor customer service and manage booking system. I had booked two EasyJet tickets for a flight this Christmas from Uk to Spain. I tried to add a selected seat today Nov 26th for one of the passengers, which included an extra large cabin bag and other different perks. Unfortunately, their system when you tried to get one of those selected seats, it does not allow you to continue with the process without buying obligatory another seat for the other passenger even I do not need it. So I decided to contact them by chat to see if they can get me a solution. After expending 30 minutes chatting with the customer service agent, he told me that he can provide me with this service but ?5 more expensive than the website price. I asked him, why, and he mentioned that doing it through the website is cheaper. The situation was ridiculous, even though I spent precious time chatting with him, EasyJet wants to charge me more because of their badly designed system. I wished I could do it by the website without expending more time. So I recommend to people to even booked passenger tickets separately and you can manage the options individually or book flight tickets with another company which has a better system, EasyJet tries to get as much money as they can from their loyal customers. But never more, even I was one of the people affected by their famous data breach and never claim anything because I have been using Easy Jet for a long time and always I had good service. But not anymore, I am very disappointed with them and I encourage other people to go for different airline companies. EasyJet never again.",negative
" While booking it all seems to be a very nice airline mainly because its cheap. I flew from Berlin to Amsterdam on November 18, flight EJU5107 seat 12A (exit row). Immediately I noticed that the flight was seriously delayed. During boarding, the easyJet ground staff is very unclear about who should board first. Nothing was announced either. As a result, it turned into chaos. After I boarded the plane, certain staff seem to speak very bad English. That shouldn't be too much of a problem, this becomes dangerous when there's an emergency and you need to communicate. I have flown with easyJet on a regular basis and all easyJet flights are always delayed (over an hour). Therefore I'm not recommending easyJet, especially for passengers who have a transfer where there is a high chance that they will miss their flight. The good thing is that the seats are very comfortable. Better than other low cost airlines.",neutral
"  It is a low cost company, and the review must me written according to the services they offer, very bad support on the ground team, was afraid my suitcase did not arrive, a bit confusing boarding, lots of time stranded in the access to the plane. Overall a good transport to get from point A to Point B.",neutral
"  Myself, Wife and 12yr daughter old flew with Easyjet holidays to Fuerteventura from Bristol for a week in 29th Oct to 5th Nov. Excellent flights out and back, plenty of leg room also. Flight crew were very good although food and beverages were expensive. Slight delay going out and ATC delay of 45 mins coming back but time was made up with tail wind. As easy jet holiday booked, we each had 23kg of hold luggage and small carry on bag. cannot fault Easyjet especially if you follow the rules and do what you are required to do. Covid certificates were not looked at going or coming back. Passports now stamped in and out of Fuerteventura, just like the old times. All in all a great holiday thanks to easyjet, and all for ?1117 all in for the 3 of us.",positive
" Please note that since Brexit your purchases on UK economic operators are subject to international processing commission and stamp duty, freely set by your bank and not reflected in the invoice issued by easyJet. The company started operating in Lisbon's Terminal 1, which, despite the general infrastructure of the airport being terrible, is always better than Terminal 2. Clean plane, boarding by bus far from the door (next to Terminal 2), minimally friendly crew, compliant with timetables, with boarding starting one hour before departure. Bus employee at the airport extremely friendly and charismatic.",neutral
" Four people in our tour group made our own reservations for a trip from the US to Paris. The travel day began with the initial flight and then Easy Jet reservations were made to fly hours later to Lisbon Portugal. We landed on time at CDG airport and received notification from Easy Jet that our flight to Lisbon was delayed for 90 minutes. No issue there for us - just a bit more time to stretch our legs. The communication from Easy Jet came in a text. I still have a picture of the text received. We arrived at the gate prior to the original departure time to find that the flight was only 11 minutes late and because we were not at the gate two hours prior to the original departure time we were not allowed to board the airplane. The gate agent would lend absolutely no support. We were not the only passengers that were left that day. We each purchased our ticket and a carry on bag for the flight. There were no other flights from CDG airport available to Lisbon that day which was not an option for us as we had to meet our tour group. We each had to make reservations for TAP Portugal out of Orly Airport - about an hour Uber Drive from CDG. This expenditure cost each of us nearly $400 - the Uber Drive, the last minute flight and the baggage. I reached out to Easy Jet upon our arrival home. The emails have been non-stop with sending our information, picture of the text message received and basic pleading to have our money refunded. We were only issued the tax on the flight which came to $19.06 Euro. We will never travel Easy Jet in the future. We will share our experience to whoever will listen and get the word out that this company takes no responsibility for their lack of customer service and their lack of communication. The deal we received in booking this reservation was excellent so in good faith, reimbursing each of us would not have broken the bank for the company. We are VERY disappointed and do not want anyone else to experience like we did.",negative
"  Completely unreliable and dishonest. Checked in for my flight 2.5 hrs in advance. Was told that because I checked in late I couldn¡¯t be guaranteed a seat on the flight that I¡¯d booked and paid for, but they would try to put me on one of the departing flights for the day. When booking with easyjet just be aware that paying for a ticket in a flight doesn¡¯t guarantee you a seat on that flight.",negative
  As is usual for us Easyjet got us to our destination and back without any great fuss. It's a No frills airline and that's what you get but it does the job. If you follow their rules they are as good if not better than other no frills airline. I would have marked it higher other than for the lacklustre performance of staff at BCN check-in. Been using them since they started and have already booked two flights for next year.,neutral
"  My flights were cancelled flights due to Covid. For this I was issued travel vouchers (listed below) however valid until 31/10/22. However, when I have attempted to apply the travel vouchers to new bookings, the screen reads that I must contact their customer service. Such a thing is impossible as there is no number to contact anywhere on their website, rendering the vouchers useless. If easyJet enable their promise to be fulfilled by extending the vouchers and making them actually usable, I would withdraw this complaint.",negative
"  Dodgy tactics to milk your money, never pay for extra services, you won't get anything extra. The only good aspect will be low prices if you are traveling alone with small or no bags. I've traveled with them 6 times, the first 2 times I paid for the speedy boarding + cabin bag, but was shocked by the complete chaos in boarding where everyone was boarding at the same time either standard or speedy, and I even couldn't find a place to put by bag (all was taken), had to put away from where I sit although I paid extra for an overhead cabin bag. The next 4 times, I just opted for the standard service as everyone apparently was getting the same service, and used the same cabin bag every time. On my most recent one, the flight was delayed almost an hour, stood in the queue for a long time then when boarding started the employee asked me to get out of the queue to fit my bag in the scale, at this point, I was extremely exhausted and didn't want to lose my place in the queue so told her I will just pay whatever the extra cost to get on the plane. So paid extra money for the same cabin bag which I've been using for the past 5 flights with no issues Bottom line, don't pay for extra services, and don't use this company if you are traveling for business or important appointments",negative
"  I've flown with easyJet about a dozen times, and always had a good experience. The flight from Manchester to Malta and the return a few days later were again very good. Booking, checking-in and boarding were all straight forward. The cabin crew were friendly and efficient and the planes were clean. We took off and landed bang on time. Will definitely fly with them again.",positive
"  They want you to pay more money for the hand luggage, because your suitcase does not fit to their regulations.  I was flying with 2 little kids (11 months old) and 3 years old. And I was breastfeeding and at the same time talking to my eldest one. And of course my mask was quite often a bit below the nose and this man was shouting at me.  That was super unpleasant flight.",negative
"  Our flight from Geneva to Brussels on 28 august was cancelled less than 1 hour before flying, without giving a reason. We were asked through the airport speakers to find a hotel. No assistance or clarification available. No contingency whatsoever. We needed to purchase new tickets from Swiss for over 600 euro to get home the next day. Reimbursement, if any, is limited on their flyer to be maximum 220 euro. No news yet after one month. No help, no assistance through their UK help line. This is a joke. EasyJet treated us worse than cattle. ",negative
"  Worst experience of all. When flying from Amsterdam to Berlin, there was more than 2 hours of delay but they did not give any compensation (drink vouchers), which was stated in the Terms & Conditions. On my way back, there was another delay of an hour due to which was triggered by their technical fault. The cabin crews were extremely unfriendly:  I will for sure say that I will never take EasyJet again. ",negative
" First time I fly easyJet, I didn't think to check reviews, we were only going to Glasgow and it is just a quick long weekend. So we didn't care to dig into the airline assuming it is the standard stuff. But boy we were wrong, we took a Friday flight 30th of September EZY885, was supposed to take of 18:05, but only took off around 18:45 or something like that, thankfully, we had nothing planned. Then on the way back on the 3rd of October Ezy6414 @ 9:15, they decided my standard bag was too big for the cabin, because apparently on Feb2021, they shrunk the seats and the cabin size even more, and charged me ?24 for it. That bag was half empty, I could have brought a smaller one had I known. Why are they going against standardisation? They actively want to catch you, the lady there could have let it go, it's not like that money goes to her pocket, but some people enjoy letting others down. They must hate their jobs immensely (customer service is difficult, especially with money grabbing management that are paid 6digits compared to people in her level with 1.65bn revenue). My guy friend is 6ft, he had his legs squashed there, I feel terrible, I didn't think he might need leg space.",negative
"  Worst airline ever, extremely unreliable and very rude and clueless staff, treating people with no respect. We had a delay for 18 hours for a reason they wouldn't tell us and couldn't care less for the passengers - the worst!",negative
" 4 flights in 5 days. Journey was from Tel Aviv to Lisbon and back. One connecting flight in Geneva and on the return connecting in Milan. Each of the 4 flights had a delay. Each time was another story. Was traveling with a person considered as Special Assistance, but none was provided by the airline at any stage. All in all, EasyJet might be good to fly from one place to another, with no need to connect flights. For us, it was really cheap but had it's price by the time/delays and by the service. We will highly try to avoid flying with EasyJet.",neutral
"  Flight was delayed 2.5hrs. There was a multiple car crash enroute to the airport so my 30min drive turned into 2.5hrs but I left early enough that I wasn¡¯t worried and that was for the non-delayed flight. I arrived 9 minutes after check-in, they wouldn¡¯t let me in and gave me absolutely zero alternative options. As I frantically searched other flights I found my easyJet flight was 2 hrs delayed so again tried to get on my flight, was told that apparently I missed baggage drop by half an hour, this was 1.5hrs after the check in I had modestly missed, sorry 1.4hr as I was 9 mins late for a flight that was 2 hrs delayed!!",negative
"  Hands down the worst customer service I have ever received. Lost our checked in luggage and it took nearly a month to lodge a claim as they dont answer phone calls, avoid responding to emails and in general don't care about their customers. After going round in circles for 4 weeks we finally managed to lodge a claim but had no response since. We will make sure never to fly with this airline again. We have flown twice with them and both times flights were delayed by almost 2 hours without any explanation given.",negative
"  Highly recommend. EasyJet went above and beyond. We had to emergency land in Munich due to sick passenger on the way back from Sharm to Bristol. EasyJet put nearly 300 of us up in a hotel, arranged taxis and paid for our food all day. The only thing we need to claim is taxi fare, every thing else was paid for. They went above and beyond for a budget airline and didn¡¯t leave us stranded like lots of bigger named airlines. I can¡¯t thank them enough. Staff also went above and beyond. 5 stars to easyJet.",positive
"  I booked a flight to return from Basel to Amsterdam. This flight was cancelled and EasyJet made no effort to notify me. When I checked in to my departing flight, I saw on the app that the flight was cancelled. I called to have my flight rebooked to an earlier flight and explained my frustration at the fact that no one had contacted me in advance. I was told that my seats would be rebooked for the new flight to the extra legroom seats I had before. The next day I called again to explain that the reservation does not have me in an extra legroom seat as I paid for and asked this to be corrected. The person on the line was not willing to refund my fee as I that would mean I would also have to give up the cabin baggage allowance I also paid for. I explained to him how frustrated this was for me as a customer, and at the end of the call he asked me to hang up on me before he hung up on me himself. This is a poor example of customer service, and if the trip wasn't so last minute, I would ask for a refund and take my business elsewhere. I am not responsible for the flight being cancelled last minute and I made all the arrangements in advance to ensure a smooth trip. I am beyond disappointed in the service I've received and will consider this when making future reservations.",negative
"  I really do not recommend EasyJet. 2h35 delay on a 45min flight, and still no compensation. This is really not proportional. They kept us waiting without giving any information, in a room without any location to buy food or water. Terrible journey with EasyJet!",negative
  Worst flight company ever. Flight was delayed. Small carry on bags with the exact size they mention when buying the ticket is not  respected as they oblige you to try to fit your bag in a much smaller box and even if it misses by 0.5 cm they tax you 28€ per bag twice on both your roundtrip flight,negative
"  Do not book with this airline, after waiting over 8 hours at Rhodes airport, with no information no staff no offer of water, our return flight was cancelled, had to find our own accommodation at 3.30 am and pay for it and the taxi, flight rescheduled for the following day at 4.30 pm. Once again waited around as flight delayed, no information, finally board flight, had to wait an hour and a half for take off on the plane, finally take off, told plane has not restocked with drinks etc. Finally land then had to wait nearly two hours for our luggage to be released. Applied for compensation for my cancelled flight and expenses which has been rejected as it was cancelled for extreme circumstances - ie Gatwick would not give them a landing slot the previous evening. So having spent over ?400, in extra expenses due to EasyJet they have paid any compensation, I¡¯m sure they must have to be compensated by Gatwick for having to keep their pilot and staff for longer. Will never fly with them again. Do not use them.",negative
"  At first, the ground crew manager came up to the passengers asking for volunteers to change to another flight (they would fly to Santiago de Compostela instead, and have a bus waiting for them to take them to Porto, and all they offered was a 500€ compensation, which is much less than what they should actually have to pay every passenger if no one took the offer and they had to refuse entry to passengers) as they mismanaged and overbooked this flight (even though they kept insisting on that it was an aircraft issue and they had to use a smaller one, while the people at the check in desks said clearly that it was overbooked). After that, the boarding process took ages, as some people had their passes invalidated due to the mentioned overbooking issue, meaning their seats (mine included) were unavailable. What's funny about this is that even people in rows as low as 10-15 or so had their seats invalidated. Anyway the boarding process took well over an hour for the lucky ones, all the while the ground crew was being extremely rude to people that didn't yet fully understand the issue, instead of explaining what they were trying to do to solve the issue (we passengers do not care how your worthless service screwed up the bookings, do not belittle us for not understanding what stupid excuses you make). Now for the unlucky ones that had their seats invalidated, we were put to the side while they tried to figure out what to do, all the while the ground crew kept insisting for us to take the 500€ and go on another flight or whatever, which I find extremely distasteful, knowing that all of us should be compensated much better had we been refused entry. Some people that were put to the side still accepted the offer, which in the end did make room for everyone else on the flight, after of course another hour or so of waiting. Now with all that said, I wouldn't have minded the issue as much if it weren't for the rudeness of the ground crew, the almost 2 hours of keeping us in the dark about what was going to happen to us, and the persistence of the ground crew manager to have us go to another flight, if you really wanted that to happen offer something better than just 500€, you know very well the compensation the airline would have to give us had we been refused entry. To add insult to injury, when at last the flight took off, we weren't offered anything at all in flight, not one measly bottle of water or a bag of chips or a small cup of coffee, nothing, absolutely worst customer service ever. As a bonus, the cabin crew hit my leg with the food/beverage cart while I was sleeping, admittedly I had my leg on the corridor, which I hadn't done on purpose or willingly, but instead of waking me up to move my leg, they just hit it and all I got was a ""Oh sorry sir"", then the attendant moved on like nothing happened. It only hurt for a bit, it's not like I want monetary compensation or anything for that, but yeah a cup of coffee could have made it up for almost everything. Worst airline I used so far, don't recommend it, I certainly won't be using it ever again.",negative
"  My paid cabin bag was 1cm too long but several cm below the height and depth limits. However the ground staff would not let me bring it on the plane and it was sent to the hold with a 30 euro excess. On the plane the luggage racks were half empty. This militant fund raising exercise is ridiculous. I had bright the exact Same bag on the incoming leg a few days earlier. Oh, and both flights were over two hours late.",negative
"  I purchased 2 tickets and paid for ""Standard Plus"" . The speedy boarding and hold luggage was included. This was shown on our boarding passes When I arrived at the gate the employee of easyjet insisted that I had to pay for the hold luggage. I showed him the boarding pass showing that I had paid for speedy boarding etc. He said that was irrelevant as his records showed that I needed to pay. As I had to board the flight I paid for this. Following this I found proof of the previous payment and showed him, but he said it was ""too late now and I need to apply for the refund."" ",negative
"  The flight was delayed for 2.5hrs, causing us to miss our bus (which had a 90mins buffer for the original arrival time), we then had to book alternative travel, which cost as much as the flight ticket. Instead of 27e and being home before midnight, we spent 180e+ and were home at 02:30 am. Contacting easyJet to get some sort of reimbursement is a nightmare, apparently getting reimbursement for a delayed flight isn't possible, the reason given, because it was delayed. The delay according to EasyJet was extraordinary circumstances, according to our pilot these circumstances were EasyJet running an overfull schedule that Gatwick could not service, and EasyJet not having staff to service these flights. The impression I'm given by easyJet's communication then is that it's my own fault for having incurred additional costs on arrival because I choose to fly with EasyJet. I used to love EasyJet before the pandemic, but now I, unfortunately, must advise anyone who considers them to definitely avoid them.",negative
"  Flight was delayed for two hours, when we finally got off the ground I was tired and hoping to sleep through the 1.5hr flight. However, all 5 air hostesses were sat right behind us gossiping loudly. After about 15 minutes I turned around and asked if they could keep the noise down a little, as I was tired and trying to nap after the delayed flight. In response I was met with hostilities, one of the hostesses telling me I'm not in a hotel and shouldn't feel so entitled. I couldn't believe it, and they continued to say nasty things about me and my partner for the rest of the flight. Even when we were leaving the plane they decided to make snarky jokes about my partner to her face. Absolutely no consideration for their customers and even happy to insult their customers in front of them. Customer service is non existent with this company, but if you'd like to be verbally abused throughout the duration of your flight and pay for the privilege, go right ahead. Myself, never ever again, absolutely disgusting.",negative
"  I would like to report on a very unpleasant experience with a baggage inspector and in this context I would like to claim back the illegally collected fine of 29€. The whole thing happened on August 17th, 2022 at around 6:20 p.m. at Gate A38 of BER Airport, where I and my travel companion should have boarded flight EJU5539 to Paris Orly at 5:35 p.m. So the flight was already delayed. Shortly before passing the counter, a very unfriendly baggage inspector waved me out. He said my hand luggage was too big. It was a business case (see picture attached), which I have been using for years with EasyJet. On the baggage measurement system, it also fitted perfectly in terms of height and width. It only exceeded the thickness by a minimum of approx. 0.5 cm (which the baggage inspector had to indicate with a pen).  When I then took the suitcase to repack something for my travel companion, the employee yelled at me where I wanted to go. He threatened me it's too late, I have to pay or the luggage will stay here. After I still managed to take out a few things and the case continued to protrude slightly over the limit, I tried to explain to the employee that this is just air in the case and that the exact dimensions can be maintained by pressing lightly. The employee then slapped my hands and yelled ""hands off"" and threatened again that the suitcase had to stay here. Under this pressure, I paid in order not to miss the flight. I suspect that the employee deliberately wanted to play off his position of power. Unfortunately there is no way to counteract this. The customer service in particular treats the customers here like dirt. Either you get an email with an answer with copy & paste FAQ's or on Instagram it is claimed that unfortunately nothing can be done. (Where there is a will, there is a way? ) Hiermit m?chte ich von einer sehr unangenehmen Erfahrung mit einem Gep?ckkontrolleur berichten und in diesem Zusammenhang die widerrechtlich eingezogene Strafgeb¨¹hr von 29€ (siehe Kontoauszug) zur¨¹ckfordern. Das ganze spielte sich den 17.08.22 um ca. 18:20 am Gate A38 des Flughafen BER ab, an welchem ich mit meiner Reisebegleitung bereits um 17:35 auf den Flug EJU5539 nach Paris Orly h?tte boarden sollen. Der Flug war also schon versp?tet. Kurz vor passieren des Schalters winkte mich dann ein sehr unfreundlicher Gep?ckkontrolleur heraus. Er meinte mein Handgep?ckst¨¹ck sei zu gro?. Dabei handelte es sich um einen Business Koffer (siehe Bild im Anhang), mit dem ich schon seit Jahren problemlos mit EasyJet reiste. Auf der Gep?ckmessanlage passte er von H?he und Breite dementsprechend auch perfekt rein. Lediglich die Dicke ¨¹berschritt er minimal um ca. 0,5 cm (was der Gep?ckkontrolleur mit einem Kugelschreiber andeuten musste). Als ich dann den Koffer nahm, um etwas zu meiner Reisebegleitung umzupacken schrie mich der Mitarbeiter an wo ich hinwollte. Er drohte mir es ist zu sp?t, ich muss zahlen oder das Gep?ck bliebe hier. Nachdem ich es dennoch schaffte ein paar Sachen herauszunehmen und der Koffer weiterhin minimal ¨¹ber die Begrenzung ragte, versuchte ich dem Mitarbeiter zu verdeutlichen, dass dies nur Luft im Koffer ist und durch leichtes andr¨¹cken exakt die Ma?e eingehalten werden. Daraufhin schlug der Mitarbeiter auf meine H?nde und schrie ,,H?nde weg"" und drohte erneut, dass der Koffer hierbleiben m¨¹sse. Unter diesem Druck zahlte ich, um den Flug nicht zu verpassen. Ich vermute, dass der Mitarbeiter bewusst seine Machtposition ausspielen wollte. Leider gibt es keine M?glichkeit dagegen vorzugehen. Insbesondere der Kundenservice behandelt die Kunden hier wie Dreck. Entweder man bekommt als Mail eine Antwort mit Copy&Paste FAQ's oder auf Instagram wird behauptet man k?nne da leider nichts tun. (Wo ein Wille, da ein Weg?) ",negative
"  I paid extra for hand luggage bag and front seat. Still no space to put bag overhead. When asked the crew, he was useless and as discourteous as he could. Just pointed me to plane asking to look for space. ",negative
"  Once and never again. Totally unfriendly check-in, luggage missing for 8 days now, no reaction from easyJet, no one can be reached personally, just standardized mails and tape announcements. Calls itself a digital airline, but can't even find a piece of luggage that has been digitally recorded in the system",negative
  Our return trip in May 2022 was cancelled while we were at the airport. I applied for a refund. Refund was approved. Still waiting for the money to be transferred into my account,neutral
"  EasyJet have no customer service.  I was at the airport early. I had already checked in and all I needed to do was a baggage drop. I was good for time and then EasyJet staff were calling for people to come forward first for the Faroe islands and then for Copenhagen, which allowed them to skip the line and go ahead of me and other passengers. I subsequently missed my flight to Tel Aviv and now have booked with KLM for that evening. EasyJet customer service has been a disgrace to deal with and I wish that after 2 calls to your call centre and emails I was given zero customer support.",negative
"  Shockingly bad! Just avoid this airline if you care about peace of mind. Their customer service is useless. The only training they have been given is to tell lies, waste people¡¯s time and give meaningless and insincere apologies. I won¡¯t use them ever again!",negative
" Venice to Paris. Absolutely the worst. They canceled our flight with less than 24 hour notice, and then had NO one at their counter to offer any assistance. We were told to manage our own booking using their app, which they didn't have another flight for 3 days. Their ""claims"" department is a joke, no one will return any messages regarding our request for compensation.",negative
  Take very good care at online check-in. I had purchased cabin baggage when I bought my ticket. At check in I opted for a seat change. I did not add cabin baggage because I had already bought it. Upon confirmation I found to my shock that my cabin baggage had disappeared. It was no longer possible to change that. Customer service was useless. I was forced to buy hold luggage at an additional GBP 28.49 because cabin baggage was no longer available. This is the worst airline scam I have ever fallen prey to and I will never use this company again.,negative
  Easyjet is the Worst airline by far that I have flown. Standing in line here at Tivat airport in Montenegro for 1.5 hours waiting for boarding as the monitors say boarding on time at 1:30pm. At 2:15pm the terminals are still saying on time departure at 1:30! Not a single easy jet rep around to even ask a question. Even easyjet's website says departure at 1:30pm and on time even though it is already 2:15pm. Pathetic is an understatement! Lat time I am flying with these guys.,negative
"  Last time i fly with them. Very uncomfortable seats. Even with extra legroom which i booked. Plane crew even didn't let me to stay with my coat in my legs they said everything must be in the locker, no bag nothing. They are saving on everything.  Why did i pay for extra legroom i dont know.",negative
  The cabin bag I regularly use on EasyJet flights just didn¡¯t quite fit in the cage. In my opinion the dimensions of the cage were out of tolerance. I asked for a tape measure to check but was told none was available. I was forced to pay ?24 to check my bag in and threatened that the flight would leave without me if I didn¡¯t hurry up.,negative
" Milano to Mallorca. The flight was delayed with 2 hours. We were supposed to leave Milano for 20:30 but we took off only at 22:30. The flight was shorter than 1500 km with two hours of delay for European regulation the airline company should have offered us drinks and snacks and kept us up to date with the reason of the delay but nothing of this happens. Our understanding is the airport was missing staff. When we asked to the hostess in charge for drinks and food she answered we left Milano at 22 when it was obvious to everyone it was wrong. EasyJet is always running late, is getting worst. No communication with customers, they rarely respect European regulation on delay - disappointed.",negative
" Berlin to Rijeka. Flight was suppose to be at 1840, it said on boarding gates C17, that it was delayed to 2020, at 2020 they told us the flight was cancelled without anything else, somehow we got to know the flight pilots maxed their hours. Unbelievable, how can this even happen they have planning people? Somebody forgot a bag at the gates cause the personal kept yelling go go go, he needed 3h to get the bag, which was just 1 floor higher. Insane. No information, no help. Never fly easyJet again.",negative
" Worst budget airline that I had ever flown with, irresponsible and rude ground staff, being told I was late to arrive at the boarding gate and denied my boarding, in fact no boarding gate information showed on information board except flight delayed, no English announcement calling immediate boarding and expected those foreign passengers to understand Portuguese. However if compared most of the incidents of flight cancelling seem common for easyJet, I would say at least I still got flight flew back to the destination. Well EasyJet you have earned my money only once, you definitely would not be my option again if choose to fly.",negative
"  After being delayed by over 2 hours, they were too late and diverted to Nice, dumping everyone in France as opposed to Geneva, Switzerland. Told by cabin crew that we would be bussed to GVA, but only one bus for all passengers on a full flight. Told that there were no more busses and 'find your own way' - at 02.30 and at least a 2 hour drive from Geneva! No taxis available nor hotels. Truly awful experience - I bet the flight crew got hotel rooms. Absolutely no support for over 100 passengers stranded.",negative
"  While waiting for our return flight, 10 min before embarking, the announcement said that the plane was here but there was no cabin crew to operate it and it was unknown when of if one would be available. ",neutral
"  Sadly I have recently had to cancel my and my husbands flights in September due to me having an ongoing serious illness. Although the T's & C's state a voucher would be offered, I explained that even though you have a year to book your next flight that unlike a heart attack or surgery I will not be in a position to do this week into next year. Although it took me 2 emails and one phone call hanging on for 25 minutes without reply, the 2nd call was answered within 10 minutes and the extremely helpful young man whom I spoke to was very very helpful and discussed this with his managers and they agreed to grant me a refund due to exceptional circumstances, I cannot praise Easyjet enough for their prompt action which has taken a huge amount of weight off my mind. We have always found them an exceptionally good airline to fly with and not experienced any delays. Our last flight was in April just before my diagnosis and it was completely problem free and even landed early both on arrival and return. I would always recommend them above any other budget airline Easyjet you have a big thumbs up and thank you from me.",positive
" Paris to Bari. Cancelled our flight without notifying us, offering 0 alternatives. We had a tightly scheduled honeymoon, visiting multiple cities in Europe, lost 200$, because of this. They lost a customer, will never fly easyJet again",negative
" Here's a total con by Easyjet. Flight from Glasgow to London is delayed by 2 hrs. Due to depart 9.15 does so at 11.15. We land too late to make next flight out of London. Easyjet insist they have zero responsibility as we arrived 1.35 mins after time published for arrival so under the 2 hrs. They can get away with this by grossly exaggerating arrival time. I wondered why they were saying this short hop took so long, now I know. They are dishonest and bordering on corrupt. We had a horrific time at Gatwick, met with disdain by the most unprofessional person I've ever met. Told to rebook missed flight for 2 days later and pay transfer of ?120. No assistance offered and absolutely no sympathy. Stayed in a hotel and flew with TUI the next day. They were wonderful in comparison. We all need to write to the transport secretary instead of Easyjet because they couldn't care less what customers are saying. They keep issuing lies about helping customers as much as they can but this is more corrupt nonsense. Why their staff put up with this chaos is beyond me, they should all follow their Italian colleagues and walk out. I hate to see jobs lost but I'd actually be happy to see Easyjet no longer exist. The people responsible for the current debacle wouldn't suffer of course. Customer service is a joke when you eventually get through and app in no way resembles what is actually happening on the ground.",negative
  Webpage to change flight times does not work. Cannot contact by phone. Cannot get response by email. I'm out a hundred quid and they've permanently lost a customer.,negative
"  I was on easyJet flight EJU3737 on Wednesday June 1st 2022. My luggage was lost (and still not found) along with 20-30 other passengers¡¯ luggage. I¡¯m not really sure how the luggage was lost as it was a direct flight from Paris to Tel Aviv. I had to fill out a lost and found report. I was able to ¡°log in¡± using the report¡¯s reference number and could see that my luggage was not found yet. A few days later I tried to log in again but the report ¡°cannot be found¡± as if someone deleted it from their system. I tried calling but they keep telling me to call the airports where the luggage might or might not be. No customer service at all. I am pretty hopeless that I will get my luggage, as I haven¡¯t received any info / update regarding where my luggage is or when I will get it. Also seems weird that 20-30 people lost their luggage on a direct flight to Israel. I am traveling back to the USA in 2days so I don¡¯t know if I will ever see my luggage again.",negative
"  
Flew back from Cyprus in April. Flight was due to land at Gatwick, but had to be diverted to East Midlands, due to their being no air traffic controllers. EasyJet explained their would be no coaches available so we had to book taxis to get to our destinations. We were told we would be refunded, no questions asked. It is now the end of May and I have made 2 failed attempts at claiming over ?700 worth of taxi bills that I had to pay for, due to there being 7 in our party and no 7 seater taxis available at 2 am in the morning when we arrived, with young children, almost 100 miles from our home and further from our car which was parked at Gatwick! Filled out the claim form and the person had the nerve to say they wouldn't give us a refund because the flight was only 4 minutes late! Have spent numerous hours on hold to customer services with no reply. The level of customer service is absolutely shocking. Won't be using again and will be advising anyone that listens to avoid.",negative
  5 different flights with easyJet and every one of them was 1-3 hours delayed. The people working in the plane were polite but you could see even they were not happy with the delays. The reason why it is not 1/10 is because of the air hostess.,neutral
  Very bad service at the counter. I'm traveling all around the world every year. Never see this. They limit to 15 kg for the check bin Baggage when other company allow 23kilo. They charge me 200 Euro more. For Cabin baggage they told me I had to pay extra 23 Euro per baggage and could not take them in Cabin. ,negative
